customer_id,name,city,recency_days,frequency,monetary,rfm_score,rfm_segment
CUST0350,Reyansh Kulkarni,Hyderabad,51,5,10191.84,344,Champions / VIP
CUST0605,Navya Verma,Pune,111,6,10167.54,244,At Risk
CUST0145,Reyansh Saxena,Kolkata,0,6,10166.08,444,Champions / VIP
CUST0870,Pari Mehta,Kolkata,122,6,10133.31,244,At Risk
CUST0275,Angel Iyer,Kolkata,15,6,10059.94,444,Champions / VIP
CUST0112,Ishaan Choudhury,Pune,88,6,10050.25,244,At Risk
CUST0782,Aditya Das,Chennai,34,6,10040.0,444,Champions / VIP
CUST0046,Riya Saxena,Hyderabad,8,8,10020.47,444,Champions / VIP
CUST0267,Riya Saxena,Ahmedabad,14,7,9950.21,444,Champions / VIP
CUST0615,Aditya Sen,Hyderabad,44,7,9934.02,344,Champions / VIP
CUST0959,Pari Joshi,Bangalore,25,7,9915.44,444,Champions / VIP
CUST0631,Ananya Verma,Delhi,80,6,9883.55,344,Champions / VIP
CUST0509,Aarav Gupta,Jaipur,1,7,9864.44,444,Champions / VIP
CUST0036,Vihaan Choudhury,Ahmedabad,40,7,9797.77,344,Champions / VIP
CUST0041,Unknown Customer,Bangalore,112,7,9796.67,244,At Risk
CUST0079,Vihaan Choudhury,Bangalore,94,8,9796.07,244,At Risk
CUST0383,Unknown Customer,Delhi,66,7,9726.01,344,Champions / VIP
CUST0272,Saanvi Gupta,Hyderabad,45,6,9665.91,344,Champions / VIP
CUST0793,Myra Saxena,Delhi,51,7,9634.26,344,Champions / VIP
CUST0592,Diya Deshmukh,Hyderabad,11,7,9567.93,444,Champions / VIP
CUST0689,Ayaan Kapoor,Jaipur,152,5,9536.22,244,At Risk
CUST0052,Aarav Verma,Delhi,158,7,9505.48,244,At Risk
CUST0055,Arjun Bhat,Jaipur,51,8,9476.27,344,Champions / VIP
CUST0069,Saanvi Iyer,Hyderabad,124,8,9397.48,244,At Risk
CUST0404,Riya Iyer,Bangalore,59,7,9376.33,344,Champions / VIP
CUST0973,Ananya Joshi,Unknown City,45,6,9345.26,344,Champions / VIP
CUST0991,Aarav Mehta,Kolkata,23,7,9334.67,444,Champions / VIP
CUST0177,Sai Gupta,Delhi,16,9,9320.32,444,Champions / VIP
CUST0725,Ishaan Patel,Hyderabad,63,6,9298.54,344,Champions / VIP
CUST0355,Anika Sharma,Kolkata,128,8,9287.45,244,At Risk
CUST0621,Navya Gupta,Ahmedabad,47,8,9221.79,344,Champions / VIP
CUST0379,Sai Singh,Delhi,70,6,9188.15,344,Champions / VIP
CUST0760,Myra Nair,Delhi,17,5,9140.52,444,Champions / VIP
CUST0556,Saanvi Deshmukh,Ahmedabad,74,5,9127.95,344,Champions / VIP
CUST0082,Vihaan Sharma,Pune,72,6,9088.06,344,Champions / VIP
CUST0947,Unknown Customer,Mumbai,58,5,9081.31,344,Champions / VIP
CUST0544,Angel Rao,Delhi,46,7,9044.56,344,Champions / VIP
CUST0659,Saanvi Deshmukh,Kolkata,6,5,9010.88,444,Champions / VIP
CUST0205,Riya Chawla,Chennai,90,8,9004.8,244,At Risk
CUST0887,Krishna Iyer,Mumbai,23,9,8988.86,444,Champions / VIP
CUST0061,Aadhya Choudhury,Jaipur,42,8,8977.43,344,Champions / VIP
CUST0017,Diya Singh,Hyderabad,73,6,8963.82,344,Champions / VIP
CUST0700,Diya Chawla,Hyderabad,32,6,8952.19,444,Champions / VIP
CUST0548,Arjun Verma,Delhi,40,5,8929.66,344,Champions / VIP
CUST0193,Ishaan Nair,Bangalore,35,8,8918.72,444,Champions / VIP
CUST0474,Anika Kulkarni,Hyderabad,203,6,8906.74,144,At Risk
CUST0653,Aadhya Deshmukh,Mumbai,47,6,8901.94,344,Champions / VIP
CUST0299,Pari Sen,Ahmedabad,216,6,8873.5,144,At Risk
CUST0130,Myra Kulkarni,Ahmedabad,41,6,8835.26,344,Champions / VIP
CUST0937,Ananya Patel,Ahmedabad,74,6,8832.72,344,Champions / VIP
CUST0171,Ayaan Bhat,Mumbai,20,6,8809.46,444,Champions / VIP
CUST0510,Unknown Customer,Pune,13,6,8784.59,444,Champions / VIP
CUST0003,Angel Chawla,Ahmedabad,76,6,8735.2,344,Champions / VIP
CUST0437,Aditya Sen,Ahmedabad,26,5,8716.4,444,Champions / VIP
CUST0462,Navya Deshmukh,Pune,57,5,8692.52,344,Champions / VIP
CUST0289,Diya Nair,Mumbai,16,5,8654.41,444,Champions / VIP
CUST0479,Aditya Sharma,Mumbai,149,9,8604.94,244,At Risk
CUST0853,Angel Rao,Jaipur,41,5,8604.88,344,Champions / VIP
CUST0487,Anika Sen,Bangalore,84,6,8429.91,344,Champions / VIP
CUST0809,Anika Mehta,Hyderabad,5,5,8414.97,444,Champions / VIP
CUST0445,Navya Iyer,Hyderabad,16,6,8408.19,444,Champions / VIP
CUST0358,Angel Sharma,Chennai,102,6,8402.36,244,At Risk
CUST0274,Riya Sen,Mumbai,22,5,8398.29,444,Champions / VIP
CUST0907,Saanvi Patel,Mumbai,101,5,8397.22,244,At Risk
CUST0507,Reyansh Verma,Jaipur,252,5,8386.12,144,At Risk
CUST0123,Angel Joshi,Chennai,66,6,8382.49,344,Champions / VIP
CUST0892,Riya Singh,Mumbai,32,7,8364.34,444,Champions / VIP
CUST0043,Pari Deshmukh,Hyderabad,233,5,8296.36,144,At Risk
CUST0323,Aadhya Sen,Hyderabad,25,6,8253.86,444,Champions / VIP
CUST0034,Ayaan Deshmukh,Pune,76,6,8220.78,344,Champions / VIP
CUST0113,Pari Singh,Pune,65,5,8220.52,344,Champions / VIP
CUST0276,Krishna Joshi,Bangalore,12,7,8215.9,444,Champions / VIP
CUST0643,Anika Reddy,Bangalore,135,4,8211.44,234,At Risk
CUST0210,Angel Rao,Delhi,89,5,8185.22,244,At Risk
CUST0481,Ishaan Joshi,Jaipur,71,5,8184.31,344,Champions / VIP
CUST0904,Navya Rao,Mumbai,311,7,8177.35,144,At Risk
CUST0390,Vivaan Iyer,Hyderabad,44,5,8160.85,344,Champions / VIP
CUST0187,Aditya Iyer,Bangalore,76,6,8143.6,344,Champions / VIP
CUST0001,Vihaan Sharma,Hyderabad,108,7,8125.38,244,At Risk
CUST0744,Vihaan Rao,Chennai,115,5,8123.25,244,At Risk
CUST0397,Aditya Singh,Mumbai,88,7,8110.06,244,At Risk
CUST0856,Diya Kulkarni,Unknown City,45,5,8106.68,344,Champions / VIP
CUST0096,Aarav Choudhury,Mumbai,174,6,8098.67,244,At Risk
CUST0877,Diya Gupta,Kolkata,14,7,8093.12,444,Champions / VIP
CUST0229,Ananya Singh,Jaipur,18,6,8085.3,444,Champions / VIP
CUST0435,Saanvi Iyer,Delhi,1,5,8077.17,444,Champions / VIP
CUST0389,Myra Sen,Bangalore,256,6,8067.78,144,At Risk
CUST0873,Arjun Kapoor,Bangalore,19,8,8046.78,444,Champions / VIP
CUST0030,Aditya Sen,Hyderabad,3,8,8046.53,444,Champions / VIP
CUST0387,Aarav Sen,Kolkata,96,7,8033.53,244,At Risk
CUST0490,Sai Joshi,Mumbai,146,5,8027.43,244,At Risk
CUST0280,Arjun Rao,Pune,157,6,8015.76,244,At Risk
CUST0217,Ananya Chawla,Hyderabad,176,6,7989.5,144,At Risk
CUST0620,Krishna Kulkarni,Jaipur,67,6,7980.0,344,Champions / VIP
CUST0475,Pari Kulkarni,Ahmedabad,20,7,7976.37,444,Champions / VIP
CUST0049,Saanvi Nair,Ahmedabad,6,5,7962.5,444,Champions / VIP
CUST0091,Pari Gupta,Kolkata,276,4,7927.63,134,At Risk
CUST0035,Navya Sharma,Ahmedabad,23,6,7910.26,444,Champions / VIP
CUST0302,Pari Sen,Mumbai,74,4,7905.59,334,Champions / VIP
CUST0737,Diya Iyer,Kolkata,97,4,7889.22,234,At Risk
CUST0252,Aadhya Chawla,Kolkata,147,7,7882.78,244,At Risk
CUST0018,Angel Joshi,Pune,42,6,7870.68,344,Champions / VIP
CUST0508,Ayaan Sharma,Ahmedabad,51,7,7836.54,344,Champions / VIP
CUST0482,Riya Nair,Bangalore,42,5,7834.33,344,Champions / VIP
CUST0185,Vihaan Gupta,Ahmedabad,35,7,7833.01,444,Champions / VIP
CUST0189,Pari Deshmukh,Delhi,70,6,7806.62,344,Champions / VIP
CUST0681,Saanvi Nair,Delhi,13,6,7792.32,444,Champions / VIP
CUST0826,Arjun Patel,Ahmedabad,6,9,7788.63,444,Champions / VIP
CUST0546,Vihaan Singh,Pune,134,6,7760.41,244,At Risk
CUST0578,Riya Das,Hyderabad,307,4,7734.02,134,At Risk
CUST0829,Ishaan Sen,Delhi,49,6,7731.49,344,Champions / VIP
CUST0655,Myra Iyer,Kolkata,189,7,7642.87,144,At Risk
CUST0843,Vivaan Kulkarni,Kolkata,47,5,7637.22,344,Champions / VIP
CUST0953,Ayaan Nair,Kolkata,40,5,7613.22,344,Champions / VIP
CUST0347,Ananya Kulkarni,Hyderabad,19,4,7608.75,434,Champions / VIP
CUST0351,Sai Sharma,Pune,69,6,7597.37,344,Champions / VIP
CUST0068,Vihaan Nair,Delhi,104,5,7571.93,244,At Risk
CUST0978,Riya Reddy,Pune,24,5,7569.92,444,Champions / VIP
CUST0766,Saanvi Mehta,Pune,50,5,7552.97,344,Champions / VIP
CUST0064,Krishna Iyer,Pune,21,5,7544.57,444,Champions / VIP
CUST0164,Ananya Kapoor,Bangalore,42,8,7539.56,344,Champions / VIP
CUST0759,Ishaan Nair,Mumbai,4,4,7513.06,434,Champions / VIP
CUST0362,Diya Das,Chennai,201,5,7498.14,144,At Risk
CUST0494,Vihaan Sharma,Jaipur,85,5,7488.86,244,At Risk
CUST0518,Anika Sen,Mumbai,87,4,7488.28,234,At Risk
CUST0066,Aditya Verma,Hyderabad,10,5,7472.83,444,Champions / VIP
CUST0324,Diya Chawla,Hyderabad,18,5,7365.42,444,Champions / VIP
CUST0608,Pari Gupta,Delhi,1,7,7336.32,444,Champions / VIP
CUST0976,Aditya Patel,Bangalore,0,5,7327.66,444,Champions / VIP
CUST0162,Riya Gupta,Kolkata,76,5,7326.45,344,Champions / VIP
CUST0761,Aadhya Mehta,Delhi,87,4,7281.52,234,At Risk
CUST0981,Krishna Iyer,Pune,108,5,7271.36,244,At Risk
CUST0230,Krishna Patel,Chennai,129,5,7262.85,244,At Risk
CUST0300,Ishaan Mehta,Bangalore,43,4,7176.4,334,Champions / VIP
CUST0799,Krishna Singh,Ahmedabad,33,5,7173.57,444,Champions / VIP
CUST0103,Saanvi Bhat,Hyderabad,9,6,7167.33,444,Champions / VIP
CUST0488,Arjun Nair,Delhi,21,5,7160.05,444,Champions / VIP
CUST0231,Ananya Singh,Hyderabad,14,5,7156.45,444,Champions / VIP
CUST0357,Aditya Rao,Kolkata,113,6,7147.98,244,At Risk
CUST0058,Ananya Choudhury,Bangalore,1,6,7146.28,444,Champions / VIP
CUST0786,Aadhya Das,Mumbai,149,4,7102.0,234,At Risk
CUST0806,Myra Reddy,Jaipur,73,5,7090.01,344,Champions / VIP
CUST0297,Aditya Das,Bangalore,64,5,7084.14,344,Champions / VIP
CUST0661,Anika Gupta,Jaipur,231,5,7083.13,144,At Risk
CUST0724,Aarav Singh,Jaipur,112,4,7057.37,234,At Risk
CUST0697,Saanvi Nair,Delhi,185,5,7038.4,144,At Risk
CUST0827,Unknown Customer,Hyderabad,16,5,7031.47,444,Champions / VIP
CUST0006,Myra Patel,Mumbai,22,5,7027.21,444,Champions / VIP
CUST0489,Unknown Customer,Bangalore,7,5,7011.25,444,Champions / VIP
CUST0664,Diya Singh,Mumbai,85,6,7009.57,244,At Risk
CUST0223,Krishna Kapoor,Jaipur,174,5,7003.38,244,At Risk
CUST0779,Saanvi Das,Delhi,12,4,6999.04,434,Champions / VIP
CUST0216,Saanvi Joshi,Unknown City,77,6,6989.14,344,Champions / VIP
CUST0688,Unknown Customer,Pune,92,5,6984.31,244,At Risk
CUST0073,Pari Chawla,Ahmedabad,7,5,6968.56,444,Champions / VIP
CUST0942,Pari Choudhury,Bangalore,23,6,6948.13,444,Champions / VIP
CUST0119,Aditya Joshi,Kolkata,46,4,6919.04,334,Champions / VIP
CUST0735,Myra Saxena,Hyderabad,111,5,6907.47,244,At Risk
CUST0993,Reyansh Nair,Bangalore,45,7,6903.11,344,Champions / VIP
CUST0062,Saanvi Kulkarni,Kolkata,89,4,6884.82,234,At Risk
CUST0864,Vivaan Choudhury,Bangalore,167,4,6882.85,234,At Risk
CUST0534,Aditya Patel,Delhi,22,5,6879.32,444,Champions / VIP
CUST0871,Reyansh Bhat,Jaipur,32,3,6879.24,424,Loyal Customers
CUST0466,Unknown Customer,Kolkata,29,6,6872.47,444,Champions / VIP
CUST0567,Myra Deshmukh,Kolkata,148,5,6870.26,244,At Risk
CUST0941,Pari Kulkarni,Chennai,60,6,6867.79,344,Champions / VIP
CUST0288,Aadhya Choudhury,Jaipur,78,7,6867.25,344,Champions / VIP
CUST0451,Angel Verma,Delhi,9,5,6866.64,444,Champions / VIP
CUST0707,Reyansh Deshmukh,Chennai,14,4,6864.76,434,Champions / VIP
CUST0825,Riya Sharma,Pune,145,4,6863.27,234,At Risk
CUST0443,Unknown Customer,Mumbai,17,5,6858.2,444,Champions / VIP
CUST0327,Navya Sharma,Bangalore,7,4,6857.9,434,Champions / VIP
CUST0828,Saanvi Singh,Bangalore,93,4,6856.63,234,At Risk
CUST0743,Anika Mehta,Ahmedabad,187,7,6843.62,144,At Risk
CUST0711,Aadhya Das,Bangalore,200,4,6826.76,134,At Risk
CUST0125,Reyansh Bhat,Chennai,69,5,6813.36,344,Champions / VIP
CUST0371,Ananya Bhat,Hyderabad,92,4,6807.09,234,At Risk
CUST0396,Anika Sen,Pune,31,7,6803.84,444,Champions / VIP
CUST0958,Arjun Kulkarni,Pune,65,4,6801.76,334,Champions / VIP
CUST0218,Vivaan Joshi,Jaipur,19,5,6799.46,444,Champions / VIP
CUST0796,Aadhya Kapoor,Ahmedabad,73,4,6743.92,334,Champions / VIP
CUST0584,Arjun Gupta,Mumbai,23,5,6716.2,444,Champions / VIP
CUST0497,Saanvi Deshmukh,Delhi,19,5,6715.87,444,Champions / VIP
CUST0840,Aarav Patel,Hyderabad,92,4,6714.55,234,At Risk
CUST0176,Unknown Customer,Bangalore,2,6,6704.57,444,Champions / VIP
CUST0581,Navya Reddy,Ahmedabad,5,5,6692.87,444,Champions / VIP
CUST0398,Ayaan Patel,Kolkata,38,6,6680.98,344,Champions / VIP
CUST0492,Anika Kapoor,Kolkata,18,3,6672.14,424,Loyal Customers
CUST0774,Vivaan Iyer,Kolkata,150,6,6657.39,244,At Risk
CUST0526,Angel Kulkarni,Ahmedabad,178,4,6648.65,134,At Risk
CUST0886,Riya Kulkarni,Mumbai,58,6,6643.21,344,Champions / VIP
CUST0054,Vihaan Chawla,Jaipur,188,5,6641.7,144,At Risk
CUST0173,Unknown Customer,Pune,97,5,6637.11,244,At Risk
CUST0257,Ayaan Sen,Kolkata,129,3,6636.59,224,Needs Attention
CUST0095,Angel Verma,Chennai,53,5,6627.5,344,Champions / VIP
CUST0751,Navya Choudhury,Delhi,2,4,6624.26,434,Champions / VIP
CUST0204,Ananya Reddy,Ahmedabad,116,7,6603.74,244,At Risk
CUST0195,Aditya Gupta,Pune,186,5,6588.69,144,At Risk
CUST0233,Saanvi Reddy,Chennai,1,5,6550.17,444,Champions / VIP
CUST0459,Diya Reddy,Chennai,21,5,6544.56,444,Champions / VIP
CUST0360,Vivaan Kapoor,Hyderabad,171,5,6513.64,244,At Risk
CUST0911,Vivaan Iyer,Delhi,197,4,6510.45,134,At Risk
CUST0199,Ishaan Sen,Jaipur,42,5,6496.85,344,Champions / VIP
CUST0484,Reyansh Saxena,Kolkata,37,7,6493.73,344,Champions / VIP
CUST0192,Pari Gupta,Chennai,20,4,6451.61,434,Champions / VIP
CUST0107,Angel Iyer,Pune,182,4,6434.09,134,At Risk
CUST0811,Krishna Reddy,Unknown City,387,4,6424.28,134,At Risk
CUST0754,Ishaan Joshi,Unknown City,165,5,6420.04,244,At Risk
CUST0330,Riya Joshi,Ahmedabad,40,5,6419.69,343,Champions / VIP
CUST0921,Vivaan Kapoor,Hyderabad,14,6,6394.86,443,Champions / VIP
CUST0776,Saanvi Mehta,Chennai,335,4,6366.91,133,At Risk
CUST0716,Ananya Saxena,Kolkata,29,5,6356.86,443,Champions / VIP
CUST0680,Saanvi Kulkarni,Ahmedabad,31,4,6348.98,433,Champions / VIP
CUST0014,Angel Rao,Chennai,24,6,6340.02,443,Champions / VIP
CUST0718,Pari Sen,Chennai,23,4,6335.4,433,Champions / VIP
CUST0512,Myra Rao,Kolkata,198,6,6333.34,143,At Risk
CUST0803,Aarav Iyer,Ahmedabad,10,4,6312.44,433,Champions / VIP
CUST0740,Ananya Gupta,Kolkata,23,5,6311.41,443,Champions / VIP
CUST0575,Aditya Verma,Chennai,79,6,6299.22,343,Champions / VIP
CUST0835,Aditya Saxena,Pune,191,5,6298.71,143,At Risk
CUST0585,Unknown Customer,Ahmedabad,27,5,6295.25,443,Champions / VIP
CUST0328,Anika Gupta,Delhi,29,5,6285.99,443,Champions / VIP
CUST0408,Aadhya Kulkarni,Ahmedabad,12,5,6281.07,443,Champions / VIP
CUST0885,Sai Singh,Ahmedabad,216,5,6280.53,143,At Risk
CUST0983,Aadhya Iyer,Kolkata,126,4,6264.75,233,At Risk
CUST0191,Krishna Bhat,Ahmedabad,3,5,6258.82,443,Champions / VIP
CUST0842,Pari Kapoor,Pune,121,5,6254.22,243,At Risk
CUST0197,Sai Joshi,Mumbai,22,4,6248.79,433,Champions / VIP
CUST0306,Vivaan Bhat,Kolkata,126,4,6238.17,233,At Risk
CUST0951,Saanvi Sen,Jaipur,113,6,6234.87,243,At Risk
CUST0560,Angel Iyer,Pune,22,3,6223.81,423,Loyal Customers
CUST0213,Riya Singh,Jaipur,70,6,6223.3,343,Champions / VIP
CUST0588,Riya Rao,Mumbai,6,4,6219.7,433,Champions / VIP
CUST0332,Ayaan Gupta,Delhi,36,5,6217.92,333,Champions / VIP
CUST0812,Arjun Kulkarni,Hyderabad,113,3,6211.74,223,Needs Attention
CUST0232,Navya Kulkarni,Unknown City,71,4,6207.41,333,Champions / VIP
CUST0031,Vivaan Sen,Jaipur,60,4,6200.13,333,Champions / VIP
CUST0636,Ishaan Sharma,Hyderabad,115,4,6160.47,233,At Risk
CUST0929,Arjun Saxena,Hyderabad,25,5,6150.28,433,Champions / VIP
CUST0554,Aditya Sen,Mumbai,316,3,6149.56,123,Needs Attention
CUST0325,Riya Singh,Mumbai,58,3,6138.12,323,Loyal Customers
CUST0728,Diya Singh,Bangalore,28,5,6133.88,433,Champions / VIP
CUST0491,Saanvi Sen,Mumbai,59,5,6129.19,333,Champions / VIP
CUST0151,Navya Gupta,Chennai,29,5,6127.98,433,Champions / VIP
CUST0059,Aadhya Kulkarni,Kolkata,12,4,6123.6,433,Champions / VIP
CUST0557,Anika Patel,Jaipur,29,5,6116.85,433,Champions / VIP
CUST0798,Diya Mehta,Pune,18,5,6115.4,433,Champions / VIP
CUST0597,Myra Nair,Jaipur,117,5,6112.66,233,At Risk
CUST0359,Ananya Iyer,Mumbai,185,4,6104.51,133,At Risk
CUST0882,Navya Sharma,Jaipur,31,4,6103.42,433,Champions / VIP
CUST0251,Sai Chawla,Mumbai,95,5,6102.78,233,At Risk
CUST0932,Pari Reddy,Ahmedabad,229,5,6099.97,133,At Risk
CUST0243,Saanvi Bhat,Kolkata,0,5,6097.95,433,Champions / VIP
CUST0446,Arjun Joshi,Jaipur,6,6,6086.4,443,Champions / VIP
CUST0938,Riya Joshi,Jaipur,6,5,6078.12,433,Champions / VIP
CUST0249,Ishaan Reddy,Chennai,24,5,6069.32,433,Champions / VIP
CUST0256,Ananya Singh,Hyderabad,26,6,6036.97,443,Champions / VIP
CUST0573,Myra Reddy,Ahmedabad,172,3,6012.9,223,Needs Attention
CUST0810,Reyansh Sen,Hyderabad,1,5,6011.79,433,Champions / VIP
CUST0672,Pari Iyer,Jaipur,56,5,6008.89,333,Champions / VIP
CUST0805,Myra Kulkarni,Hyderabad,176,4,5984.42,133,At Risk
CUST0874,Sai Choudhury,Kolkata,63,7,5983.84,343,Champions / VIP
CUST0712,Navya Verma,Kolkata,152,5,5968.34,233,At Risk
CUST0787,Ishaan Chawla,Delhi,14,3,5961.62,423,Loyal Customers
CUST0601,Arjun Saxena,Pune,131,3,5947.09,223,Needs Attention
CUST0378,Diya Sharma,Unknown City,32,4,5946.97,433,Champions / VIP
CUST0425,Krishna Bhat,Bangalore,13,5,5924.39,433,Champions / VIP
CUST0106,Arjun Gupta,Chennai,34,3,5917.98,423,Loyal Customers
CUST0120,Vihaan Bhat,Ahmedabad,45,4,5897.06,333,Champions / VIP
CUST0013,Saanvi Iyer,Jaipur,41,4,5886.73,333,Champions / VIP
CUST0527,Sai Verma,Pune,155,4,5876.08,233,At Risk
CUST0502,Ishaan Das,Kolkata,36,6,5875.17,343,Champions / VIP
CUST0261,Ayaan Kapoor,Chennai,64,3,5872.99,323,Loyal Customers
CUST0987,Arjun Rao,Bangalore,127,3,5863.02,223,Needs Attention
CUST0625,Reyansh Singh,Ahmedabad,75,5,5851.75,333,Champions / VIP
CUST0791,Aarav Verma,Chennai,94,4,5846.21,233,At Risk
CUST0248,Ayaan Verma,Hyderabad,255,4,5841.48,133,At Risk
CUST0844,Ishaan Verma,Pune,16,4,5833.58,433,Champions / VIP
CUST0790,Aarav Rao,Jaipur,203,4,5827.46,133,At Risk
CUST0505,Aditya Sen,Kolkata,97,5,5818.14,233,At Risk
CUST0770,Navya Kapoor,Hyderabad,70,3,5815.03,323,Loyal Customers
CUST0948,Saanvi Nair,Jaipur,316,5,5808.99,133,At Risk
CUST0032,Saanvi Joshi,Unknown City,83,4,5799.96,333,Champions / VIP
CUST0266,Ishaan Sharma,Kolkata,106,3,5789.93,223,Needs Attention
CUST0530,Pari Gupta,Ahmedabad,249,4,5765.91,133,At Risk
CUST0070,Ishaan Sen,Mumbai,16,3,5732.78,423,Loyal Customers
CUST0869,Arjun Iyer,Hyderabad,79,4,5722.0,333,Champions / VIP
CUST0198,Ayaan Deshmukh,Ahmedabad,49,5,5719.16,333,Champions / VIP
CUST0763,Ishaan Bhat,Kolkata,247,6,5718.19,143,At Risk
CUST0016,Arjun Deshmukh,Jaipur,44,5,5717.24,333,Champions / VIP
CUST0260,Angel Das,Kolkata,57,6,5715.84,343,Champions / VIP
CUST0132,Navya Singh,Mumbai,104,3,5713.73,223,Needs Attention
CUST0982,Anika Patel,Mumbai,52,3,5710.72,323,Loyal Customers
CUST0922,Unknown Customer,Bangalore,71,5,5705.55,333,Champions / VIP
CUST0729,Arjun Nair,Mumbai,126,3,5683.38,223,Needs Attention
CUST0753,Ananya Nair,Mumbai,29,5,5681.9,433,Champions / VIP
CUST0023,Ayaan Kapoor,Hyderabad,5,5,5669.08,433,Champions / VIP
CUST0576,Riya Sharma,Kolkata,121,4,5666.99,233,At Risk
CUST0416,Navya Sen,Kolkata,115,4,5659.2,233,At Risk
CUST0538,Angel Nair,Pune,44,6,5634.38,343,Champions / VIP
CUST0060,Aarav Das,Mumbai,153,5,5629.89,233,At Risk
CUST0279,Aarav Singh,Delhi,21,5,5626.81,433,Champions / VIP
CUST0418,Unknown Customer,Ahmedabad,43,4,5623.65,333,Champions / VIP
CUST0606,Vivaan Choudhury,Mumbai,3,5,5621.49,433,Champions / VIP
CUST0975,Ayaan Sen,Jaipur,14,5,5621.04,433,Champions / VIP
CUST0004,Ananya Mehta,Delhi,12,4,5619.88,433,Champions / VIP
CUST0343,Aarav Iyer,Ahmedabad,228,4,5614.45,133,At Risk
CUST0919,Aadhya Deshmukh,Hyderabad,63,5,5610.95,333,Champions / VIP
CUST0665,Anika Das,Mumbai,418,3,5607.62,123,Needs Attention
CUST0860,Aditya Gupta,Kolkata,130,4,5573.73,233,At Risk
CUST0714,Aarav Kapoor,Bangalore,244,4,5573.13,133,At Risk
CUST0733,Arjun Das,Chennai,7,3,5564.39,423,Loyal Customers
CUST0133,Pari Gupta,Chennai,33,4,5537.3,433,Champions / VIP
CUST0025,Sai Rao,Delhi,104,6,5527.69,243,At Risk
CUST0081,Arjun Rao,Jaipur,18,4,5516.95,433,Champions / VIP
CUST0033,Riya Das,Jaipur,9,6,5513.33,443,Champions / VIP
CUST0974,Ananya Kulkarni,Jaipur,74,3,5511.61,323,Loyal Customers
CUST0170,Navya Mehta,Bangalore,21,4,5503.89,433,Champions / VIP
CUST0568,Sai Choudhury,Chennai,57,4,5497.47,333,Champions / VIP
CUST0342,Aarav Chawla,Jaipur,39,3,5496.03,323,Loyal Customers
CUST0954,Saanvi Verma,Ahmedabad,47,4,5488.79,333,Champions / VIP
